from_code,to_code,weight,method
DE143,DE143,1.0,composed
DE144,DE144,1.0,composed
DE145,DE145,1.0,composed
DE146,DE146,1.0,composed
DE147,DE147,1.0,composed
DE148,DE148,1.0,composed
DE149,DE149,1.0,composed
DE211,DE211,1.0,composed
DE212,DE212,1.0,composed
DE213,DE213,1.0,composed
DE214,DE214,1.0,composed
DE215,DE215,1.0,composed
DE216,DE216,1.0,composed
DE217,DE217,1.0,composed
DE218,DE218,1.0,composed
DE219,DE219,1.0,composed
DE21A,DE21A,1.0,composed
DE21B,DE21B,1.0,composed
DE21C,DE21C,1.0,composed
DE21D,DE21D,1.0,composed
DE21E,DE21E,1.0,composed
DE21F,DE21F,1.0,composed
DE21G,DE21G,1.0,composed
DE21H,DE21H,1.0,composed
DE21I,DE21I,1.0,composed
DE21J,DE21J,1.0,composed
DE21K,DE21K,1.0,composed
DE21L,DE21L,1.0,composed
DE21M,DE21M,1.0,composed
DE21N,DE21N,1.0,composed
DE221,DE221,1.0,composed
DE222,DE222,1.0,composed
DE223,DE223,1.0,composed
DE224,DE224,1.0,composed
DE225,DE225,1.0,composed
DE226,DE226,1.0,composed
DE227,DE227,1.0,composed
DE228,DE228,1.0,composed
DE229,DE229,1.0,composed
DE22A,DE22A,1.0,composed
DE22B,DE22B,1.0,composed
DE22C,DE22C,1.0,composed
DE231,DE231,1.0,composed
DE232,DE232,1.0,composed
DE233,DE233,1.0,composed
DE234,DE234,1.0,composed
DE235,DE235,1.0,composed
DE236,DE236,1.0,composed
DE237,DE237,1.0,composed
DE238,DE238,1.0,composed
DE239,DE239,1.0,composed
DE23A,DE23A,1.0,composed
DE241,DE241,1.0,composed
DE242,DE242,1.0,composed
DE243,DE243,1.0,composed
DE244,DE244,1.0,composed
DE245,DE245,1.0,composed
DE246,DE246,1.0,composed
DE247,DE247,1.0,composed
DE248,DE248,1.0,composed
DE249,DE249,1.0,composed
DE24A,DE24A,1.0,composed
DE24B,DE24B,1.0,composed
DE24C,DE24C,1.0,composed
DE24D,DE24D,1.0,composed
DE251,DE251,1.0,composed
DE252,DE252,1.0,composed
DE253,DE253,1.0,composed
DE254,DE254,1.0,composed
DE255,DE255,1.0,composed
DE256,DE256,1.0,composed
DE257,DE257,1.0,composed
DE258,DE258,1.0,composed
DE259,DE259,1.0,composed
DE25A,DE25A,1.0,composed
DE25B,DE25B,1.0,composed
DE25C,DE25C,1.0,composed
DE261,DE261,1.0,composed
DE262,DE262,1.0,composed
DE263,DE263,1.0,composed
DE264,DE264,1.0,composed
DE265,DE265,1.0,composed
DE266,DE266,1.0,composed
DE267,DE267,1.0,composed
DE268,DE268,1.0,composed
DE269,DE269,1.0,composed
DE26A,DE26A,1.0,composed
DE26B,DE26B,1.0,composed
DE26C,DE26C,1.0,composed
DE271,DE271,1.0,composed
DE272,DE272,1.0,composed
DE273,DE273,1.0,composed
DE274,DE274,1.0,composed
DE275,DE275,1.0,composed
DE276,DE276,1.0,composed
DE277,DE277,1.0,composed
DE278,DE278,1.0,composed
DE279,DE279,1.0,composed
DE27A,DE27A,1.0,composed
DE27B,DE27B,1.0,composed
DE27C,DE27C,1.0,composed
DE27D,DE27D,1.0,composed
DE27E,DE27E,1.0,composed
DE300,DE300,1.0,composed
DE401,DE401,1.0,composed
DE402,DE402,1.0,composed
DE403,DE403,1.0,composed
DE404,DE404,1.0,composed
DE405,DE405,1.0,composed
DE406,DE406,1.0,composed
DE407,DE407,1.0,composed
DE408,DE408,1.0,composed
DE409,DE409,1.0,composed
DE40A,DE40A,1.0,composed
DE40B,DE40B,1.0,composed
DE40C,DE40C,1.0,composed
DE40D,DE40D,1.0,composed
DE40E,DE40E,1.0,composed
DE40F,DE40F,1.0,composed
DE40G,DE40G,1.0,composed
DE40H,DE40H,1.0,composed
DE40I,DE40I,1.0,composed
DE501,DE501,1.0,composed
DE502,DE502,1.0,composed
DE600,DE600,1.0,composed
DE711,DE711,1.0,composed
DE712,DE712,1.0,composed
DE713,DE713,1.0,composed
DE714,DE714,1.0,composed
DE715,DE715,1.0,composed
DE716,DE716,1.0,composed
DE717,DE717,1.0,composed
DE718,DE718,1.0,composed
DE719,DE719,1.0,composed
DE71A,DE71A,1.0,composed
DE71B,DE71B,1.0,composed
DE71C,DE71C,1.0,composed
DE71D,DE71D,1.0,composed
DE71E,DE71E,1.0,composed
DE721,DE721,1.0,composed
DE722,DE722,1.0,composed
DE723,DE723,1.0,composed
DE724,DE724,1.0,composed
DE725,DE725,1.0,composed
DE731,DE731,1.0,composed
DE732,DE732,1.0,composed
DE733,DE733,1.0,composed
DE734,DE734,1.0,composed
DE735,DE735,1.0,composed
DE736,DE736,1.0,composed
DE737,DE737,1.0,composed
DE803,DE803,1.0,composed
DE804,DE804,1.0,composed
DE80J,DE80J,1.0,composed
DE80K,DE80K,1.0,composed
DE80L,DE80L,1.0,composed
DE80M,DE80M,1.0,composed
DE80N,DE80N,1.0,composed
DE80O,DE80O,1.0,composed
DE911,DE911,1.0,composed
DE912,DE912,1.0,composed
DE913,DE913,1.0,composed
DE914,DE914,1.0,composed
DE916,DE916,1.0,composed
