from_code,to_code,weight
EL52,EL52,1.0
EL53,EL53,1.0
EL54,EL54,1.0
EL61,EL61,1.0
EL62,EL62,1.0
EL63,EL63,1.0
EL64,EL64,1.0
EL65,EL65,1.0
ES11,ES11,1.0
ES12,ES12,1.0
ES13,ES13,1.0
ES21,ES21,1.0
ES22,ES22,1.0
ES23,ES23,1.0
ES24,ES24,1.0
ES30,ES30,1.0
ES41,ES41,1.0
ES42,ES42,1.0
ES43,ES43,1.0
ES51,ES51,1.0
ES52,ES52,1.0
ES53,ES53,1.0
ES61,ES61,1.0
ES62,ES62,1.0
ES63,ES63,1.0
ES64,ES64,1.0
ES70,ES70,1.0
FI19,FI19,1.0
FI1B,FI1B,1.0
FI1C,FI1C,1.0
FI1D,FI1D,1.0
FI20,FI20,1.0
FR10,FR10,1.0
FRB0,FRB0,1.0
FRC1,FRC1,1.0
FRC2,FRC2,1.0
FRD1,FRD1,1.0
FRD2,FRD2,1.0
FRE1,FRE1,1.0
FRE2,FRE2,1.0
FRF1,FRF1,1.0
FRF2,FRF2,1.0
FRF3,FRF3,1.0
FRG0,FRG0,1.0
FRH0,FRH0,1.0
FRI1,FRI1,1.0
FRI2,FRI2,1.0
FRI3,FRI3,1.0
FRJ1,FRJ1,1.0
FRJ2,FRJ2,1.0
FRK1,FRK1,1.0
FRK2,FRK2,1.0
FRL0,FRL0,1.0
FRM0,FRM0,1.0
FRY1,FRY1,1.0
FRY2,FRY2,1.0
FRY3,FRY3,1.0
FRY4,FRY4,1.0
FRY5,FRY5,1.0
HR03,HR03,1.0
HR04,HR02,0.3922972548899043
HR04,HR05,0.30323611576125936
HR04,HR06,0.30446662934883634
HU11,HU11,1.0
HU12,HU12,1.0
HU21,HU21,1.0
HU22,HU22,1.0
HU23,HU23,1.0
HU31,HU31,1.0
HU32,HU32,1.0
HU33,HU33,1.0
IE04,IE04,1.0
IE05,IE05,1.0
IE06,IE06,1.0
IS00,IS00,1.0
ITC1,ITC1,1.0
ITC2,ITC2,1.0
ITC3,ITC3,1.0
ITC4,ITC4,1.0
ITF1,ITF1,1.0
ITF2,ITF2,1.0
ITF3,ITF3,1.0
ITF4,ITF4,1.0
ITF5,ITF5,1.0
ITF6,ITF6,1.0
ITG1,ITG1,1.0
ITG2,ITG2,1.0
ITH1,ITH1,1.0
ITH2,ITH2,1.0
ITH3,ITH3,1.0
ITH4,ITH4,1.0
ITH5,ITH5,1.0
ITI1,ITI1,1.0
ITI2,ITI2,1.0
ITI3,ITI3,1.0
ITI4,ITI4,1.0
LI00,LI00,1.0
LT01,LT01,1.0
LT02,LT02,1.0
LU00,LU00,1.0
LV00,LV00,1.0
ME00,ME00,1.0
MK00,MK00,1.0
MT00,MT00,1.0
NL11,NL11,1.0
NL12,NL12,1.0
NL13,NL13,1.0
NL21,NL21,1.0
NL22,NL22,1.0
NL23,NL23,1.0
NL31,NL35,1.0
NL32,NL32,1.0
NL33,NL35,0.009001408875088247
NL33,NL36,0.9909985911249117
NL34,NL34,1.0
NL41,NL41,1.0
NL42,NL42,1.0
NO01,NO08,1.0
NO02,NO02,0.9590903039481816
NO02,NO08,0.040909696051818364
NO03,NO08,0.5848453705002257
NO03,NO09,0.4151546294997743
NO04,NO09,0.39152091719732374
NO04,NO0A,0.6084790828026763
NO05,NO06,0.004225855222646416
NO05,NO0A,0.9957741447773536
NO06,NO06,1.0
NO07,NO07,1.0
PL21,PL21,1.0
PL22,PL22,1.0
PL41,PL41,1.0
PL42,PL42,1.0
PL43,PL43,1.0
PL51,PL51,1.0
PL52,PL52,1.0
PL61,PL61,1.0
PL62,PL62,1.0
PL63,PL63,1.0
PL71,PL71,1.0
PL72,PL72,1.0
PL81,PL81,1.0
PL82,PL82,1.0
PL84,PL84,1.0
PL91,PL91,1.0
PL92,PL92,1.0
PT11,PT11,1.0
PT15,PT15,1.0
PT16,PT19,0.7333955095717918
PT16,PT1D,0.2666044904282083
PT17,PT1A,0.7182239370193383
PT17,PT1B,0.2817760629806617
PT18,PT1C,0.6634050269294722
PT18,PT1D,0.3365949730705278
PT20,PT20,1.0
PT30,PT30,1.0
RO11,RO11,1.0
RO12,RO12,1.0
RO21,RO21,1.0
RO22,RO22,1.0
RO31,RO31,1.0
RO32,RO32,1.0
RO41,RO41,1.0
RO42,RO42,1.0
RS11,RS11,1.0
RS12,RS12,1.0
RS21,RS21,1.0
RS22,RS22,1.0
SE11,SE11,1.0
SE12,SE12,1.0
SE21,SE21,1.0
SE22,SE22,1.0
SE23,SE23,1.0
SE31,SE31,1.0
SE32,SE32,1.0
SE33,SE33,1.0
SI03,SI03,1.0
SI04,SI04,1.0
SK01,SK01,1.0
SK02,SK02,1.0
SK03,SK03,1.0
SK04,SK04,1.0
TR10,TR10,1.0
TR21,TR21,1.0
TR22,TR22,1.0
TR31,TR31,1.0
TR32,TR32,1.0
TR33,TR33,1.0
TR41,TR41,1.0
TR42,TR42,1.0
TR51,TR51,1.0
TR52,TR52,1.0
TR61,TR61,1.0
TR62,TR62,1.0
TR63,TR63,1.0
TR71,TR71,1.0
TR72,TR72,1.0
TR81,TR81,1.0
TR82,TR82,1.0
TR83,TR83,1.0
TR90,TR90,1.0
TRA1,TRA1,1.0
TRA2,TRA2,1.0
TRB1,TRB1,1.0
TRB2,TRB2,1.0
TRC1,TRC1,1.0
TRC2,TRC2,1.0
TRC3,TRC3,1.0
