from_code,to_code,weight
AL01,AL01,1.0
AL02,AL02,1.0
AL03,AL03,1.0
AT11,AT11,1.0
AT12,AT12,1.0
AT13,AT13,1.0
AT21,AT21,1.0
AT22,AT22,1.0
AT31,AT31,1.0
AT32,AT32,1.0
AT33,AT33,1.0
AT34,AT34,1.0
BE10,BE10,1.0
BE21,BE21,1.0
BE22,BE22,1.0
BE23,BE23,1.0
BE24,BE24,1.0
BE25,BE25,1.0
BE31,BE31,1.0
BE32,BE32,1.0
BE33,BE33,1.0
BE34,BE34,1.0
BE35,BE35,1.0
BG31,BG31,1.0
BG32,BG32,1.0
BG33,BG33,1.0
BG34,BG34,1.0
BG41,BG41,1.0
BG42,BG42,1.0
CH01,CH01,1.0
CH02,CH02,1.0
CH03,CH03,1.0
CH04,CH04,1.0
CH05,CH05,1.0
CH06,CH06,1.0
CH07,CH07,1.0
CY00,CY00,1.0
CZ01,CZ01,1.0
CZ02,CZ02,1.0
CZ03,CZ03,1.0
CZ04,CZ04,1.0
CZ05,CZ05,1.0
CZ06,CZ06,1.0
CZ07,CZ07,1.0
CZ08,CZ08,1.0
DE11,DE11,1.0
DE12,DE12,1.0
DE13,DE13,1.0
DE14,DE14,1.0
DE21,DE21,1.0
DE22,DE22,1.0
DE23,DE23,1.0
DE24,DE24,1.0
DE25,DE25,1.0
DE26,DE26,1.0
DE27,DE27,1.0
DE30,DE30,1.0
DE40,DE40,1.0
DE50,DE50,1.0
DE60,DE60,1.0
DE71,DE71,1.0
DE72,DE72,1.0
DE73,DE73,1.0
DE80,DE80,1.0
DE91,DE91,1.0
DE92,DE92,1.0
DE93,DE93,1.0
DE94,DE94,1.0
DEA1,DEA1,1.0
DEA2,DEA2,1.0
DEA3,DEA3,1.0
DEA4,DEA4,1.0
DEA5,DEA5,1.0
DEB1,DEB1,1.0
DEB2,DEB2,1.0
DEB3,DEB3,1.0
DEC0,DEC0,1.0
DED2,DED2,1.0
DED4,DED4,1.0
DED5,DED5,1.0
DEE0,DEE0,1.0
DEF0,DEF0,1.0
DEG0,DEG0,1.0
DK01,DK01,1.0
DK02,DK02,1.0
DK03,DK03,1.0
DK04,DK04,1.0
DK05,DK05,1.0
EE00,EE00,1.0
EL30,EL30,1.0
EL41,EL41,1.0
EL42,EL42,1.0
EL43,EL43,1.0
EL51,EL51,1.0
