from_code,to_code,weight,method
AT111,AT111,1.0,jrc_pop18
AT112,AT112,1.0,jrc_pop18
AT113,AT113,1.0,jrc_pop18
AT121,AT121,1.0,jrc_pop18
AT122,AT122,1.0,jrc_pop18
AT123,AT123,1.0,jrc_pop18
AT124,AT124,1.0,jrc_pop18
AT125,AT125,1.0,jrc_pop18
AT126,AT126,1.0,jrc_pop18
AT127,AT127,1.0,jrc_pop18
AT130,AT130,1.0,jrc_pop18
AT211,AT211,1.0,jrc_pop18
AT212,AT212,1.0,jrc_pop18
AT213,AT213,1.0,jrc_pop18
AT221,AT221,1.0,jrc_pop18
AT222,AT222,1.0,jrc_pop18
AT223,AT223,1.0,jrc_pop18
AT224,AT224,0.9937350982487873,jrc_pop18
AT224,AT225,0.006264901751212694,jrc_pop18
AT225,AT225,1.0,jrc_pop18
AT226,AT226,1.0,jrc_pop18
AT311,AT311,1.0,jrc_pop18
AT312,AT312,1.0,jrc_pop18
AT313,AT313,1.0,jrc_pop18
AT314,AT314,1.0,jrc_pop18
AT315,AT315,1.0,jrc_pop18
AT321,AT321,1.0,jrc_pop18
AT322,AT322,1.0,jrc_pop18
AT323,AT323,1.0,jrc_pop18
AT331,AT331,1.0,jrc_pop18
AT332,AT332,1.0,jrc_pop18
AT333,AT333,1.0,jrc_pop18
AT334,AT334,1.0,jrc_pop18
AT335,AT335,1.0,jrc_pop18
AT341,AT341,1.0,jrc_pop18
AT342,AT342,1.0,jrc_pop18
BE100,BE100,1.0,jrc_pop18
BE211,BE211,1.0,jrc_pop18
BE212,BE212,1.0,jrc_pop18
BE213,BE213,1.0,jrc_pop18
BE221,BE224,0.9757696731295068,jrc_pop18
BE221,BE225,0.024230326870493202,jrc_pop18
BE222,BE225,1.0,jrc_pop18
BE223,BE223,1.0,jrc_pop18
BE231,BE231,1.0,jrc_pop18
BE232,BE232,1.0,jrc_pop18
BE233,BE233,1.0,jrc_pop18
BE234,BE234,1.0,jrc_pop18
BE235,BE235,1.0,jrc_pop18
BE236,BE236,1.0,jrc_pop18
BE241,BE241,1.0,jrc_pop18
BE242,BE242,1.0,jrc_pop18
BE251,BE251,1.0,jrc_pop18
BE252,BE252,1.0,jrc_pop18
BE253,BE253,1.0,jrc_pop18
BE254,BE254,1.0,jrc_pop18
BE255,BE255,1.0,jrc_pop18
BE256,BE256,1.0,jrc_pop18
BE257,BE257,1.0,jrc_pop18
BE258,BE258,1.0,jrc_pop18
BE310,BE310,1.0,jrc_pop18
BE321,BE32A,1.0,jrc_pop18
BE322,BE32B,0.9197795434380407,jrc_pop18
BE322,BE32C,0.08022045656195922,jrc_pop18
BE323,BE323,1.0,jrc_pop18
BE324,BE328,1.0,jrc_pop18
BE325,BE329,0.42119951970510566,jrc_pop18
BE325,BE32A,0.21178580275161954,jrc_pop18
BE325,BE32C,0.3670146775432749,jrc_pop18
BE326,BE329,0.39955528965737536,jrc_pop18
BE326,BE32D,0.6004447103426247,jrc_pop18
BE327,BE328,1.0,jrc_pop18
BE331,BE331,1.0,jrc_pop18
BE332,BE332,1.0,jrc_pop18
BE334,BE334,1.0,jrc_pop18
BE335,BE335,1.0,jrc_pop18
BE336,BE336,1.0,jrc_pop18
BE341,BE341,1.0,jrc_pop18
BE342,BE342,1.0,jrc_pop18
BE343,BE343,1.0,jrc_pop18
BE344,BE344,1.0,jrc_pop18
BE345,BE345,1.0,jrc_pop18
BE351,BE351,1.0,jrc_pop18
BE352,BE352,1.0,jrc_pop18
BE353,BE353,1.0,jrc_pop18
BG311,BG311,1.0,jrc_pop18
BG312,BG312,1.0,jrc_pop18
BG313,BG313,1.0,jrc_pop18
BG314,BG314,1.0,jrc_pop18
BG315,BG315,1.0,jrc_pop18
BG321,BG321,1.0,jrc_pop18
BG322,BG322,1.0,jrc_pop18
BG323,BG323,1.0,jrc_pop18
BG324,BG324,1.0,jrc_pop18
BG325,BG325,1.0,jrc_pop18
BG331,BG331,1.0,jrc_pop18
BG332,BG332,1.0,jrc_pop18
BG333,BG333,1.0,jrc_pop18
BG334,BG334,1.0,jrc_pop18
BG341,BG341,1.0,jrc_pop18
BG342,BG342,1.0,jrc_pop18
BG343,BG343,1.0,jrc_pop18
BG344,BG344,1.0,jrc_pop18
BG411,BG411,1.0,jrc_pop18
BG412,BG412,1.0,jrc_pop18
BG413,BG413,1.0,jrc_pop18
BG414,BG414,1.0,jrc_pop18
BG415,BG415,1.0,jrc_pop18
BG421,BG421,1.0,jrc_pop18
BG422,BG422,1.0,jrc_pop18
BG423,BG423,1.0,jrc_pop18
BG424,BG424,1.0,jrc_pop18
BG425,BG425,1.0,jrc_pop18
CH011,CH011,1.0,jrc_pop18
CH012,CH012,1.0,jrc_pop18
CH013,CH013,1.0,jrc_pop18
CH021,CH021,1.0,jrc_pop18
CH022,CH022,1.0,jrc_pop18
CH023,CH023,1.0,jrc_pop18
CH024,CH024,1.0,jrc_pop18
CH025,CH025,1.0,jrc_pop18
CH031,CH031,1.0,jrc_pop18
