country_code,party_abbreviation,party_native,partyfacts_id_matched,pf_name_short,pf_name,pf_name_english,votes,resembles_source
GR,NEA DIMOKRATIA,NEA DIMOKRATIA,794.0,ND,Néa Đimokratía,New Democracy,4523072.0,False
GB,RUK,Reform UK,7364.0,BP,Brexit Party,Brexit Party,4117610.0,False
NO,H,Hoyre,503.0,H,Høyre,Conservative Party,3652199.0,False
DK,K,Konservative Folkeparti,53.0,KrF/KD,Kristeligt Folkeparti / Kristendemokraterne,Christian People's Party / Christian Democrats,2865078.0,False
IT,LEGA PER SALVINI PREMIER,LEGA PER SALVINI PREMIER,1221.0,LN,Lega Nord,North League,2392617.0,False
PT,PPD/PSD.CDS-PP,PPD/PSD.CDS-PP,5939.0,PàF,Portugal à Frente,Portugal Ahead,2018539.0,False
HU,"United for Hungary (Jobbik, MSZP, Dialogue, DK, LMP, Momentum)","United for Hungary (Jobbik, MSZP, Dialogue, DK, LMP, Momentum)",8249.0,MM,Momentum Mozgalom,Momentum Movement,1983708.0,False
PT,PPD/PSD.CDS-PP,,5939.0,PàF,Portugal à Frente,Portugal Ahead,1981459.0,False
SE,Arbetarepartiet-Socialdemokraterna,Arbetarepartiet-Socialdemokraterna,487.0,S,Socialdemokraterna / Sveriges socialdemokratiska arbetareparti,Social Democrats / Social Democratic Workers' Party of Sweden,1949997.0,False
BG,ГЕРБ-СДС,ГЕРБ-СДС,760.0,GERB,Grazhdani za evropeysko razvitie na Balgariya,Citizens for European Development of Bulgaria,1173631.0,False
ES,SUMAR,SUMAR,3203.0,PODEMOS,Podemos,We Can,1151113.0,False
DK,A,A. Socialdemokratiet,379.0,SD,Socialdemokraterne,Social Democrats,971995.0,False
NO,A,Arbeiderpartiet,448.0,DNA,Det norske Arbeiderparti,Norwegian Labour Party,902296.0,False
NO,Arbeiderpartiet,Arbeiderpartiet,448.0,DNA,Det norske Arbeiderparti,Norwegian Labour Party,783394.0,False
ES,PODEMOS-COMPROMIS-EUPV,,5623.0,CC,Coalició Compromís,Commitment Coalition,659771.0,False
BG,ВЪЗРАЖДАНЕ,ВЪЗРАЖДАНЕ,5862.0,V,Vazrazhdane,Revival,621381.0,False
PT,PCP-PEV,PCP-PEV,284.0,CDU,Coligação Democrática Unitária,Unitary Democratic Coalition,619913.0,False
ES,ECP-GUANYEM EL CANVI,,3203.0,PODEMOS,Podemos,We Can,549173.0,False
ES,SUMAR ANDALUCÍA,SUMAR ANDALUCÍA,3203.0,PODEMOS,Podemos,We Can,520826.0,False
PT,L,L,3225.0,L,"Livre — Liberdade, Esquerda, Europa e Ecologia",Livre,519514.0,False
BE,LES ENGAGÉS,LES ENGAGÉS,633.0,PSC — CDH,Parti Social Chrétien — Centre démocrate humaniste,Francophone Christian Social Party — Humanist Democratic Centre,472755.0,False
ES,COMPROMÍS - SUMAR: SUMEM PER GUANYAR,COMPROMÍS - SUMAR: SUMEM PER GUANYAR,5623.0,CC,Coalició Compromís,Commitment Coalition,399405.0,False
FR,REG,,2536.0,1-perc,1 percent,1 percent,396610.0,False
ES,PARTIDO POPULAR / PARTIT POPULAR,PARTIDO POPULAR / PARTIT POPULAR,441.0,AP/PP,Alianza-Partido Popular / Partido Popular,People's Alliance-Party / People's Party,387285.0,False
BE,open vld,open vld,49.0,PVV — OVLD,Partij voor Vrijheid en Vooruitgang — Open Vlaamse Liberalen en Democraten,Party of Liberty and Progress — Open Flemish Liberals and Democrats,380659.0,False
IT,NUOVO PSI,,888.0,NPSI,Nuovo Partito Socialisti Italiani,New PSI,353066.0,False
FR,Divers,Divers,1898.0,etc,other,other,337178.0,False
FR,Régionalistes,Régionalistes,2536.0,1-perc,1 percent,1 percent,310727.0,False
FR,REEP,,3156.0,MDC/PR,Mouvement des citoyens / Pôle républicain,Citizens' Movement / Republican Alliance,308664.0,False
BG,ПП ИМА ТАКЪВ НАРОД,ПП ИМА ТАКЪВ НАРОД,8992.0,ITN,Ima takav narod,There Is Such a People,293167.0,False
FR,Régionaliste,Régionaliste,2536.0,1-perc,1 percent,1 percent,291384.0,False
IT,LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA,LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA,1221.0,LN,Lega Nord,North League,281949.0,False
DK,A,Alternativet,379.0,SD,Socialdemokraterne,Social Democrats,273066.0,False
BG,Demokratichna Balgariya,Demokratichna Balgariya,9083.0,DB,Demokratichna Bulgaria,Democratic Bulgaria,272391.0,False
IT,SA 1/4DTIROLER VOLKSPARTEI,,1369.0,SVP,Südtiroler Volkspartei,South Tyrol Peoples Party,231825.0,False
BG,PP HAS SUCH PEOPLE,PP HAS SUCH PEOPLE,8992.0,ITN,Ima takav narod,There Is Such a People,225189.0,False
FI,VAS,VAS,1096.0,SKDL,Suomen Kansan Demokraattinen Liitto,Finnish People's Democratic League,218430.0,False
IT,PPST,,1369.0,SVP,Südtiroler Volkspartei,South Tyrol Peoples Party,198433.0,False
ES,PODEMOS-EU,,8271.0,AlV,A la valenciana,Valencian style,188231.0,False
LT,RISING NATION PARTY,Tvarka ir teisingumas - Liberalu Demokratu Partija,347.0,TPP,Tautos prisikėlimo partija,National Resurrection Party,186629.0,False
BG,БСП – ОБЕДИНЕНА ЛЕВИЦА,БСП – ОБЕДИНЕНА ЛЕВИЦА,757.0,BSP,Bălgarska Socialističeska Partija,Bulgarian Socialist Party,184403.0,False
ES,MES COMPROMIS,,5623.0,CC,Coalició Compromís,Commitment Coalition,176287.0,False
ES,SUMAR GALICIA,SUMAR GALICIA,3203.0,PODEMOS,Podemos,We Can,175813.0,False
NO,RØDT,Rødt,44.0,RV,Rød Valgallianse,Red Electoral Alliance,171342.0,False
BG,БСП за БЪЛГАРИЯ,БСП за БЪЛГАРИЯ,757.0,BSP,Bălgarska Socialističeska Partija,Bulgarian Socialist Party,151560.0,False
NO,Rødt,Rødt,44.0,RV,Rød Valgallianse,Red Electoral Alliance,140931.0,False
DK,B,B. Radikale Venstre,1507.0,RV,Det Radikale Venstre,Danish Social-Liberal Party / Radical Liberal Party,133931.0,False
IT,DEM.CRIST.-NUOVO PSI,,888.0,NPSI,Nuovo Partito Socialisti Italiani,New PSI,119599.0,False
FR,MPF,,364.0,MF,Mouvement pour la France,Movement for France,116779.0,False
FI,SKS (2007),,2687.0,1-perc,1 percent,1 percent,112827.0,False
ES,SUMAR CANARIAS,SUMAR CANARIAS,3203.0,PODEMOS,Podemos,We Can,107322.0,False
EE,Eesti Konservatiivne Rahvaerakond,Eesti Konservatiivne Rahvaerakond,110.0,ERL,Eestimaa Rahvalliit,People's Union of Estonia,97966.0,False
IT,DIE FREIHEITLICHEN,,2415.0,1-perc,1 percent,1 percent,93831.0,False
IT,PROGETTO NORDEST,,2415.0,1-perc,1 percent,1 percent,92079.0,False
AT,JETZT,,6137.0,PILZ,Liste Peter Pilz,Peter Pilz List,89169.0,False
BE,PTB-PVDA,PTB-PVDA,1753.0,PVDA — PTB,Partij van de Arbeid van België — Parti du Travail de Belgique,Workers' Party of Belgium,86927.0,False
IT,L.VALLE D'AOSTA,,6242.0,VdA,Vallée d’Aoste,Aosta Valley,85098.0,False
ES,SUMAR MÉS,SUMAR MÉS,3203.0,PODEMOS,Podemos,We Can,83116.0,False
ES,SUMAR ARAGÓN,SUMAR ARAGÓN,3203.0,PODEMOS,Podemos,We Can,82863.0,False
ES,PARTIT POPULAR / PARTIDO POPULAR,PARTIT POPULAR / PARTIDO POPULAR,441.0,AP/PP,Alianza-Partido Popular / Partido Popular,People's Alliance-Party / People's Party,81832.0,False
CY,ΑΚΕΛ (ΑΝΟΡΘΩΤΙΚΟ ΚΟΜΜΑ ΕΡΓΑΖΟΜΕΝΟΥ ΛΑΟΥ),ΑΚΕΛ (ΑΝΟΡΘΩΤΙΚΟ ΚΟΜΜΑ ΕΡΓΑΖΟΜΕΝΟΥ ΛΑΟΥ),1076.0,AKEL,Anorthotikó Kómma Ergazómenou Laoú,Progressive Party of Working People,79913.0,False
FR,DIVED,,452.0,exd,extrême droite,other far-right,76342.0,False
IT,PS D'AZ.,,877.0,PSA,Partito Sardo d'Azione,Sardinian Action Party,71403.0,False
IT,UNION FUR SUD TIROL,,2415.0,1-perc,1 percent,1 percent,68338.0,False
FR,REGIONALISTE,,2536.0,1-perc,1 percent,1 percent,65430.0,False
DE,DSU,,1895.0,etc,other,other,63872.0,False
IS,B,Framsóknarflokkur,224.0,B,Borgarahreyfingin,Citizens' Movement,51080.0,False
EE,ISAMAA Erakond,ISAMAA Erakond,685.0,IRL,Erakond Isamaa ja Res Publica Liit,Union of Pro Patria and Res Publica,50118.0,False
CH,Schweizer Demokraten (SD),Schweizer Demokraten (SD),1819.0,NA-SD,Nationale Aktion / Schweizer Demokraten,National Action / Swiss Democrats,45716.0,False
FR,RPF,,364.0,MF,Mouvement pour la France,Movement for France,44338.0,False
GR,DH.ANA,,648.0,DIANA,Dimokratiki Ananeosi,Democratic Renewal,44077.0,False
FI,LIB (2007),,249.0,L,Liberaalinen kansanpuolue,Liberal People's Party,38020.0,False
HR,RESTART-REFORMISTI,,4866.0,NS — R,Narodna stranka — Reformisti,People's Party — Reformists,34907.0,False
CH,SOL.,,1646.0,RB,Republikanische Bewegung,Republican Movement,30940.0,False
FI,REM (1999),,250.0,Rt,Remonttiryhmä,Reform Group,28549.0,False
BG,VMRO - BULGARIAN NATIONAL MOVEMENT,VMRO - BULGARIAN NATIONAL MOVEMENT,2056.0,IMRO,VMRO — Bulgarsko Natsionalno Dvizhenie,IMRO — Bulgarian National Movement,27492.0,False
CY,ΕΘΝΙΚΟ ΛΑΪΚΟ ΜΕΤΩΠΟ (Ε.ΛΑ.Μ.),ΕΘΝΙΚΟ ΛΑΪΚΟ ΜΕΤΩΠΟ (Ε.ΛΑ.Μ.),1013.0,ELAM,Ethniko Laiko Metopo,National Popular Front,24255.0,False
FI,PIRATE PTY,,2687.0,1-perc,1 percent,1 percent,23972.0,False
BG,ZELENITE,,659.0,ZP,Zelena Partija,Green Party of Bulgaria,23440.0,False
CH,MCR,,8176.0,MCG,Mouvement Citoyens Genevois,Geneva Citizens' Movement,23346.0,False
LT,"LITHUANIAN PEOPLE'S UNION ""FOR THE FAIR LITHUANIA""",,1409.0,UTL,"Liaudies sąjunga ""Uz teisingą Lietuvą""","People’s Union ""For Just Lithuania""",21583.0,False
PT,A,,7357.0,A,Aliança,Alliance,21066.0,False
CZ,SZZJ,,670.0,DZJ,Důchodci za životní jistoty,Pensioners for a Secure Living,18845.0,False
LT,LITHUANIAN FREEDOM UNION,,1410.0,LLS,Lietuvos laisvės sąjunga,Lithuanian Liberty Union,18622.0,False
DK,K,K. KD - Kristendemokraterne,53.0,KrF/KD,Kristeligt Folkeparti / Kristendemokraterne,Christian People's Party / Christian Democrats,18276.0,False
LT,"""YOUNG LITHUANIAS"", NEW NATIONALISTS AND POLITICAL PRISONERS UNION",,1679.0,JL/PKS,Jaunoji Lietuva / Politinių kalinių sąjunga,Young Lithuania / Union of Political Prisoners,16941.0,False
IT,LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA,LEGA PER SALVINI PREMIER - FORZA ITALIA - NOI MODERATI - FRATELLI D'ITALIA,1221.0,LN,Lega Nord,North League,16016.0,False
IT,AUTONOMIE LIBERTE' DEMOCRATIE,,2415.0,1-perc,1 percent,1 percent,14340.0,False
FI,SSP (2011),,2687.0,1-perc,1 percent,1 percent,13971.0,False
LT,PARTY OF CIVIC DEMOCRACY,,105.0,PDP,Pilietinės demokratijos partija,Civic Democratic Party,13775.0,False
RO,APRPE,,173.0,PaRo,Partida Romilor,Party of the Roma,11977.0,False
HU,MAGYAR MUNKÁSPÁRT + IGEN SZOLIDARITÁS MAGYARORSZÁGÉRT MOZGALOM,MAGYAR MUNKÁSPÁRT + IGEN SZOLIDARITÁS MAGYARORSZÁGÉRT MOZGALOM,859.0,MKM,Magyar Kommunista Munkáspárt,Hungarian Communist Workers' Party,8678.0,False
LT,THE UNION OF THE RUSSIANS OF LITHUANIA,,168.0,LRS,Lietuvos rusų sąjunga,Lithuanian Russian Union,8356.0,False
HR,REFORMISTI-HSS BRACE RADIC-UMIROVLJENICI,,4866.0,NS — R,Narodna stranka — Reformisti,People's Party — Reformists,8269.0,False
BG,National Movement for Stability and Progress,National Movement for Stability and Progress,374.0,NDSV,Nacionalno dviženie (Simeon Vtori) za stabilnost i văzhod,National Movement (Simeon II) for Stability and Progress,6409.0,False
IE,INDEPENDENT FF,,2533.0,IFF,Independent Fianna Fáil,Independent Fianna Fail,6124.0,False
EE,Erakond Eestimaa Rohelised,Erakond Eestimaa Rohelised,1040.0,EER,Erakonna Eestimaa Rohelised,Estonian Greens,5886.0,False
RO,PMR,,1542.0,PSMR,Partidul Socialist Muncitoresc Roman,Romanian Socialist Party of Workers,5871.0,False
IT,PARTITO COMUNISTA DEI LAVORATORI,,34.0,PCI,Partito Comunista Italiano,Italian Communist Party,4238.0,False
FI,Pirate Pty,Pirate Pty,2687.0,1-perc,1 percent,1 percent,3058.0,False
AT,PIRAT,,2591.0,1-perc,1 percent,1 percent,2940.0,False
IT,CENTRO CRIST.DEM.,,1767.0,CCD,Centro Cristiano Democratico,Christian Democratic Center,2646.0,False
HR,DEMOKRATI-LABURISTI-LISTA RI,,3143.0,CL — LP,Hrvatski laburisti — Stranka rada,Croatian Labourists — Labour Party,2534.0,False
HR,MDS,,2524.0,1-perc,1 percent,1 percent,2332.0,False
PT,A,A,7357.0,A,Aliança,Alliance,1902.0,False
IT,AZ.SOCIALE MUSSOLINI,,327.0,ASM,Alternativa Sociale Mussolini,Social Alternative Mussolini,1066.0,False
EE,EIP,,429.0,TEE,Tuleviku Eesti Erakond,Estonian Future Party,734.0,False
DE,SPD,Sozialdemokratische Partei Deutschlands,383.0,SPD,Sozialdemokratische Partei Deutschlands,Social Democratic Party of Germany,118188140.0,True
DE,CDU,Christlich Demokratische Union,1375.0,CDU,Christlich Demokratische Union,Christian Democratic Union,113514013.0,True
TR,AKP,,306.0,AKP,Adalet ve Kalkınma Partisi,Justice and Development Party,93595696.0,True
GB,CONSERVATIVES,Conservatives,1567.0,Con,Conservatives,Conservatives,90435159.0,True
GB,LABOUR,Labour Party,1516.0,Lab,Labour Party,Labour,79880681.0,True
ES,PP,Alianza-Partido Popular / Partido Popular,441.0,AP/PP,Alianza-Partido Popular / Partido Popular,People's Alliance-Party / People's Party,79111832.0,True
ES,PSOE,Partido Socialista Obrero Espanol,1338.0,PSOE,Partido Socialista Obrero Español,Spanish Socialist Workers Party,73594245.0,True
TR,CHP,,1060.0,CHP,Cumhuriyet Halk Partisi,Republican Peoples Party,48054625.0,True
GB,LIB DEMS,Liberal Democrats,1388.0,LD,Liberal Democrats,Liberal Democrats,43963086.0,True
IT,FORZA ITALIA,Forza Italia,1626.0,FI,Forza Italia,Go Italy,35490371.0,True
DE,FDP,Freie Demokratische Partei,573.0,FDP,Freie Demokratische Partei,Free Democratic Party,33031189.0,True
FR,PS,Parti socialiste,1478.0,PS,Parti socialiste,Socialist Party,32070921.0,True
DE,GRUNE,Bundnis 90 / Die Grunen,1816.0,B90/Gr,Bündnis 90 / Die Grünen,Alliance 90 / Greens,28936198.0,True
PL,PIS,Prawo i Sprawiedliwosc,1565.0,PiS,Prawo i Sprawiedliwość,Law and Justice,27664472.0,True
DE,CSU,Christlich Soziale Union,1731.0,CSU,Christlich Soziale Union,Christian Social Union,26807540.0,True
IT,PARTITO DEMOCRATICO,Partito Democratico,802.0,PD,Partito Democratico,Democratic Party,26625772.0,True
FR,UMP,,1595.0,UMP,Union pour un mouvement populaire,Union for a Popular Movement,25731354.0,True
GR,ND,Nea Dimokratia,794.0,ND,Néa Đimokratía,New Democracy,25573354.0,True
TR,MHP,,1610.0,MHP,Milliyetçi Hareket Partisi,Nationalist Movement [Action] Party,24476657.0,True
GR,PASOK,Panellinio Sosialistiko Kinima,1468.0,PASOK,Panellinio Sosialistikó Kínima,Panhellenic Socialist Movement,21136475.0,True
IT,IL POPOLO DELLA LIBERTA',Il Popolo della Liberta,365.0,IPdL,Il Popolo della Libertà,The People of Freedom,20975574.0,True
NL,VVD,VVD,828.0,VVD,Volkspartij voor Vrijheid en Democratie,People's Party for Freedom and Democracy,20601339.0,True
PL,PO,Platforma Obywatelska,1117.0,PO,Platforma Obywatelska,Civic Platform,20492357.0,True
IT,LEGA NORD,Lega Nord,1221.0,LN,Lega Nord,North League,20321112.0,True
DE,SPD,SPD,383.0,SPD,Sozialdemokratische Partei Deutschlands,Social Democratic Party of Germany,20107269.1,True
IT,ALLEANZA NAZIONALE,Alleanza Nazionale,813.0,AN,Alleanza Nazionale,National Alliance,20026523.0,True
DE,CDU,CDU,1375.0,CDU,Christlich Demokratische Union,Christian Democratic Union,19974238.9,True
IT,MOVIMENTO 5 STELLE,Movimento 5 Stelle,2046.0,M5S,Movimento 5 Stelle,Five Star Movement,18956509.0,True
PT,PS,Partido Socialista,655.0,PS,Partido Socialista,Socialist Party,18452160.0,True
FR,FN,Front National / Rassemblement national,433.0,FN / RN,Front National / Rassemblement national,National Front / National Rally,17415123.0,True
SE,SAP,Socialdemokraterna / Sveriges Socialdemokratiska Arbetareparti,487.0,S,Socialdemokraterna / Sveriges socialdemokratiska arbetareparti,Social Democrats / Social Democratic Workers' Party of Sweden,16137871.0,True
PT,PPD/PSD,Partido Popular Democratico / Partido Social Democrata,1359.0,PPD/PSD,Partido Popular Democrático / Partido Social Democrata,Popular Democratic Party / Social Democratic Party,15701103.0,True
NL,CDA,CDA,1157.0,CDA,Christen Democratisch Appèl,Christian Democratic Appeal,15489384.0,True
DE,AfD,AfD,1976.0,AfD,Alternative für Deutschland,Alternative for Germany,15133371.3,True
IT,PDS,Partito Democratico della Sinistra,8054.0,PDS,Partito Democratico della Sinistra,Democratic Party of the Left,14621281.0,True
AT,SPO,Sozialdemokratische Partei Osterreichs,1384.0,SPO,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,14026855.0,True
AT,OVP,Osterreichische Volkspartei,1329.0,OVP,Österreichische Volkspartei,Austrian People's Party,13663613.0,True
FR,Rassemblement National,Rassemblement National,433.0,FN / RN,Front National / Rassemblement national,National Front / National Rally,13642010.0,True
DE,DIE LINKE,Die Linke,1545.0,Linke,Die Linke,The Left,13208902.0,True
DE,GRÜNE,GRÜNE,1816.0,B90/Gr,Bündnis 90 / Die Grünen,Alliance 90 / Greens,12616002.2,True
IT,L'ULIVO,L'Ulivo,1737.0,Ulivo,L'Ulivo,The Olive Tree,11929536.0,True
IT,RIFONDAZIONE COMUNISTA,Partito della Rifondazione Comunista,1404.0,PRC,Partito della Rifondazione Comunista,Communist Refoundation Party,11785529.0,True
DE,PDS,Partei des Demokratischen Sozialismus,86.0,PDS,Partei des Demokratischen Sozialismus,Party for Democratic Socialism,11642755.0,True
IT,DC,Democrazia Cristiana,934.0,DC,Democrazia Cristiana,Christian Democrats,11639170.0,True
TR,HDP,,6042.0,HDP,Halkların Demokratik Partisi,Peoples' Democratic Party,11015387.0,True
NL,PvdA,PvdA,1234.0,PvdA,Partij van de Arbeid,Labour,10800153.0,True
CH,Schweizerische Volkspartei (SVP),Schweizerische Volkspartei (SVP),308.0,SVP,Schweizerische Volkspartei,Swiss People's Party,10644237.0,True
SE,M,Allmanna valmansforbundet / Hogern / Hogerpartiet / Moderata samlingspartiet,690.0,AV / H / HP / M,Allmänna valmansförbundet / Högern / Högerpartiet / Moderata samlingspartiet,General Electoral League / The Right / Right Wing Party / Moderate Party,10442609.0,True
ES,IU,Izquierda Unida,247.0,IU,Izquierda Unida,United Left,10096482.0,True
GB,Lab,Labour,1516.0,Lab,Labour Party,Labour,9708716.0,True
FR,UDF,Union pour la democratie francaise,213.0,UDF,Union pour la démocratie française,Union for French Democracy,9538916.0,True
HU,MSZP,Magyar Szocialista Part,1408.0,MSZP,Magyar Szocialista Párt,Hungarian Socialist Party,9451607.0,True
HU,FIDESZ,Fidesz - Magyar Polgari Szovetseg,1691.0,Fidesz,Fidesz — Magyar Polgári Szövetség,Fidesz — Hungarian Civic Alliance,9368549.0,True
NL,PVV (Partij voor de Vrijheid),PVV (Partij voor de Vrijheid),298.0,PVV,Partij voor de Vrijheid,Party for Freedom,9112796.0,True
DK,SD,Socialdemokraterne,379.0,SD,Socialdemokraterne,Social Democrats,9055935.0,True
FR,RPR,,509.0,RPR,Rassemblement pour la République,Rally for the Republic,8870391.0,True
ES,OTHER,,1839.0,etc,other,other,8528028.0,True
DE,AFD,Alternative fur Deutschland,1976.0,AfD,Alternative für Deutschland,Alternative for Germany,7935100.0,True
AT,FPO,Freiheitliche Partei Osterreichs,463.0,FPO,Freiheitliche Partei Österreichs,Freedom Party of Austria,7821438.0,True
CH,Sozialdemokratische Partei der Schweiz (SP),Sozialdemokratische Partei der Schweiz (SP),29.0,SP,Sozialdemokratische Partei der Schweiz,Social Democratic Party of Switzerland,7774976.0,True
FR,PCF,Parti communiste francaise,1251.0,PCF,Parti communiste française,French Communist Party,7726808.0,True
PL,KW PRAWO I SPRAWIEDLIWOŚĆ,KW PRAWO I SPRAWIEDLIWOŚĆ,1565.0,PiS,Prawo i Sprawiedliwość,Law and Justice,7640854.0,True
ES,PARTIDO POPULAR,PARTIDO POPULAR,441.0,AP/PP,Alianza-Partido Popular / Partido Popular,People's Alliance-Party / People's Party,7622723.0,True
DK,V,Venstre,1204.0,V,Venstre,Liberal Party,7524753.0,True
DE,OTHER,,1895.0,etc,other,other,7478764.0,True
DE,FDP,FDP,573.0,FDP,Freie Demokratische Partei,Free Democratic Party,7469761.0,True
NL,D66,D66,45.0,D66,Democraten 66,Democrats 66,7245930.0,True
IT,PARTITO DEMOCRATICO DELLA SINISTRA,Partito Democratico della Sinistra,8054.0,PDS,Partito Democratico della Sinistra,Democratic Party of the Left,7231877.0,True
BE,CD&V,Christen-Democratisch & Vlaams / Nieuw-Vlaams Alliantie,604.0,CD&V,Christen-Democratisch en Vlaams,Christian Democrats and Flemish,7153798.0,True
IT,FRATELLI D'ITALIA CON GIORGIA MELONI,FRATELLI D'ITALIA CON GIORGIA MELONI,2280.0,FdI,Fratelli d'Italia,Brothers of Italy,7094081.0,True
PL,PSL,Polskie Stronnictwo Ludowe,602.0,PSL,Polskie Stronnictwo Ludowe,Polish People's (Peasants') Party,6987948.0,True
GB,Con,Conservative,1567.0,Con,Conservatives,Conservatives,6828925.0,True
GB,OTHER,,1841.0,etc,other,other,6676168.000000001,True
PL,KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI,KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI,1117.0,PO,Platforma Obywatelska,Civic Platform,6629402.0,True
DE,DIE LINKE / PDS,DIE LINKE / PDS,1545.0,Linke,Die Linke,The Left,6627772.2,True
GB,SNP,Scottish National Party,986.0,SNP,Scottish National Party,Scottish National Party,6611279.0,True
FI,SDP,Suomen Sosialidemokraattinen Puolue,1303.0,SDP,Suomen Sosialidemokraattinen Puolue,Social Democratic Party of Finland,6352552.0,True
FR,REM,La Republique En Marche!,5857.0,LaREM/RE,La République En Marche! / Renaissance,The Republic Onwards! / Renaissance,6278157.0,True
LU,CSV,Chreschtlech Sozial Vollekspartei,539.0,CSV,Chrëschtlech Sozial Vollekspartei,Christian Social People's Party,6096651.0,True
BE,PS,Parti Socialiste,500.0,PS,Parti Socialiste,Socialist Party [Francophone],6087674.0,True
IT,DEMOCRATICI SINISTRA,Democratici di Sinistra,878.0,DS,Democratici di Sinistra,Democrats of the Left,6085350.0,True
GR,SYRIZA,Synaspismos Rizospastikis Aristeras,301.0,SYRIZA,Synaspismós Rizospastikís Aristerás,Coalition of the Radical Left,6039333.0,True
BE,OPENVLD,Partij voor Vrijheid en Vooruitgang - Open Vlaamse Liberalen en Democraten,49.0,PVV — OVLD,Partij voor Vrijheid en Vooruitgang — Open Vlaamse Liberalen en Democraten,Party of Liberty and Progress — Open Flemish Liberals and Democrats,6026686.0,True
ES,CIU,Convergencia i Unio,139.0,CiU,Convergència i Unió,Convergence and Unity,5918424.0,True
CZ,CSSD,Ceska strana socialne demokraticka,177.0,CSSD,Česká strana sociálně demokratická,Czech Social Democratic Party,5709549.0,True
FI,KOK,Kansallinen Kokoomus,495.0,KOK,Kansallinen Kokoomus,National Coalition Party,5700206.0,True
FR,OTHER RIGHT,divers droite,1776.0,d-d,divers droite,other right,5699944.0,True
FI,KESK,Maalaisliitto / Keskusta,901.0,KESK,Maalaisliitto / Keskusta,Agrarian Union / Centre Party,5699489.0,True
IT,OTHER,,1896.0,etc,other,other,5570561.0,True
ES,PARTIDO SOCIALISTA OBRERO ESPAÑOL,PARTIDO SOCIALISTA OBRERO ESPAÑOL,1338.0,PSOE,Partido Socialista Obrero Español,Spanish Socialist Workers Party,5534851.0,True
IT,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,802.0,PD,Partito Democratico,Democratic Party,5431426.0,True
BE,SP,Socialistische Partij Anders,1680.0,SPA — V,Socialistische Partij Anders — Vooruit,Socialist Party Differently — Forward,5411299.0,True
PT,PS,PS,655.0,PS,Partido Socialista,Socialist Party,5401136.0,True
IT,PSI,Partito Socialista Italiano,742.0,PSI,Partito Socialista Italiano,Italian Socialist Party,5400551.0,True
GB,UKIP,United Kingdom Independence Party,601.0,UKIP,United Kingdom Independence Party,United Kingdom Independence Party,5394638.0,True
NL,Partij van de Arbeid (P.v.d.A.),Partij van de Arbeid (P.v.d.A.),1234.0,PvdA,Partij van de Arbeid,Labour,5385284.0,True
DE,CSU,CSU,1731.0,CSU,Christlich Soziale Union,Christian Social Union,5366855.0,True
IT,LA MARGHERITA,Democrazia e Liberta - La Margherita,279.0,DL — M,Democrazia è Libertà — La Margherita,Democracy is Freedom — The Daisy,5319083.0,True
IT,UNIONE DI CENTRO,Unione di Centro,201.0,UdC,Unione di Centro,Union of the Centre,5242296.0,True
BE,MR,Mouvement Reformateur,789.0,MR,Mouvement Réformateur,Reformist Movement,5107843.0,True
CZ,ODS,Obcanska demokraticka strana,466.0,ODS,Občanská demokratická strana,Civic Democratic Party,5074378.0,True
PL,KO,,9122.0,KO,Koalicja Obywatelska,Civic Coalition,5060355.0,True
TR,INDEPENDENT,,2956.0,indep,independent,independent,5058858.0,True
TR,IYI PARTI,,6236.0,IYI,İyi Parti,Good Party,4993479.0,True
BG,GERB,Grazhdani za evropeysko razvitie na Balgariya,760.0,GERB,Grazhdani za evropeysko razvitie na Balgariya,Citizens for European Development of Bulgaria,4980029.0,True
PL,SLD,Sojusz Lewicy Demokratycznej,57.0,SLD,Sojusz Lewicy Demokratycznej,Democratic Left Alliance,4839494.0,True
BE,N-VA,Nieuw-Vlaamse Alliantie,36.0,N-VA,Nieuw-Vlaamse Alliantie,New Flemish Alliance,4782416.0,True
HU,FIDESZ-KDNP,Fidesz - Hungarian Civic Alliance -- Christian Democratic People's Party,6366.0,Fidesz — KDNP,Fidesz — KDNP pártszövetség / Magyar Szolidaritás Szövetsége,Fidesz — KDNP Party Alliance / Alliance of Hungarian Solidarity,4750132.0,True
FR,VERTS,Les Verts,1108.0,V,Les Verts,Greens,4747094.0,True
PL,SLD-UP,Sojusz Lewicy Demokratycznej-Unia Pracy,6183.0,SLD — UP,Sojusz Lewicy Demokratycznej — Unia Pracy,Democratic Left Alliance — Labour Union,4696921.0,True
BE,VB,Vlaams Belang,553.0,VB,Vlaams Blok / Belang,Flemish Block / Interest,4626384.0,True
IT,FORZA ITALIA,Forza Italia (2013),8058.0,FI,Forza Italia (2013),Forward Italy (2013),4498106.0,True
