country_code,party_abbreviation,party_native,partyfacts_id_matched,pf_name_short,pf_name,pf_name_english,votes,resembles_source
FI,KIPU (2003),,1223.0,KiPu,"Kirjava ""Puolue"" — Elonkehän Puolesta",Ecological Party the Greens,20202.0,True
SI,SMS-ZELENI,Stranka mladih Slovenije,1401.0,SMS,Stranka mladih Slovenije,Youth Party of Slovenia,20174.0,True
RO,PARTIDUL SOCIALIST ROMÂN,PARTIDUL SOCIALIST ROMÂN,1073.0,PS,Partidul Socialist,Socialist Party,19695.0,True
SI,Pirati,PIRATSKA STRANKA SLOVENIJE,3099.0,PSS,Piratska stranka Slovenije,Slovenian Pirate Party,19480.0,True
DE,Graue Panther,Graue Panther,1652.0,Grau,Die Grauen — Graue Panther,The Grays — Gray Panthers,19443.0,True
IE,CATHOLIC DEMOCRATS,National Party,2053.0,NP,National Party,National Party,19077.0,True
SI,LIPA,Stranka Lipa,881.0,LIPA,Stranka Lipa,Party Lime Tree,19068.0,True
NO,Pensjonistpartiet,Pensjonistpartiet,317.0,P,Pensjonistpartiet,Pensioners Party,19006.0,True
AT,MFG,MFG,9022.0,MFG,Menschen Freiheit Grundrechte,People Freedom Fundamental Rights,18932.0,True
LV,DZIMTENE,Dzimtene,897.0,D,Dzimtene,Motherland,18860.0,True
BG,Bulgarian National Movement,Bulgarian National Movement,2056.0,IMRO,VMRO — Bulgarsko Natsionalno Dvizhenie,IMRO — Bulgarian National Movement,18849.0,True
CY,NO,Neoi Orizontes,1191.0,NO,Neoi Orizontes,New Horizons,18650.0,True
NL,Belang Van Nederland (BVNL),Belang Van Nederland (BVNL),9106.0,BVNL,Belang van Nederland,Interest of the Netherlands,18460.0,True
CY,SOLIDARITY,Kinima Allileggiis,4883.0,KINHMA,Kinima Allileggiis,Solidarity Movement,18424.0,True
IT,UNION VALDOTAINE PROGRESSISTE,,548.0,UV,Union Valdôtaine,Valdotanian Union,18191.0,True
IT,PROGRESSISTI,,8053.0,AP,Alleanza dei Progressisti,Alliance of Progressives,17942.0,True
SI,NAŠA DEŽELA,NAŠA DEŽELA stranka dr. ALEKSANDRE PIVEC,9070.0,ND,Naša dežela,Our Country,17846.0,True
SI,SNS,SLOVENSKA NACIONALNA STRANKA - SNS,96.0,SNS,Slovenska nacionalna stranka,Slovenian National Party,17736.0,True
CY,ELAM,Ethniko Laiko Metopo,1013.0,ELAM,Ethniko Laiko Metopo,National Popular Front,17395.0,True
IT,PARTITO COMUNISTA,,34.0,PCI,Partito Comunista Italiano,Italian Communist Party,17201.0,True
PT,PND,,1095.0,PND,Partido da Nova Democracia,New Democracy Party,16851.0,True
FI,POP (1991),,414.0,POP,Perustuslaillinen Oikeistopuolue,Constitutional Right Party,16845.0,True
IS,J,Sósíalistaflokkur Íslands,9004.0,SFI,Sósíalistaflokkur Íslands,Icelandic Socialist Party,16603.0,True
LT,SOCIALIST PEOPLE'S FRONT,Fronto partija / Socialistinis liaudies frontas,1250.0,F/SLF,Fronto partija / Socialistinis liaudies frontas,Front Party / Socialist People's Front,16514.0,True
CZ,RMS,,972.0,RMS,Republikanska Miroslava Sladka,Republicans of Miroslav Sladek,16489.0,True
LT,CHRISTIAN PARTY,Krikscioniu partija,8254.0,KP,Krikščionių partija,Christian Party,16489.0,True
EE,KEUR,Konstitutsioonierakond - Eestimaa Uhendatud Rahvapartei,18.0,K — EUR,Konstitutsioonierakond — Eestimaa Ühendatud Rahvapartei,Constitution Party — Estonian United People's Party,16439.0,True
CZ,DSSS,,805.0,DSSS,Dělnická strana sociální spravedlnosti,Workers' Party of Social Justice,16408.0,True
LT,LITHUANIAN CHRISTIAN DEMOCRATS,Lietuvos Krikscionys Demokratai,1063.0,LKD,Lietuvos Krikščionys Demokratai,Lithuanian Christian Democrats,16362.0,True
HU,EGYUTT,,2458.0,Egyutt,Együtt — A Korszakváltók Pártja,Together — Party for a New Era,16315.0,True
RO,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,2454.0,FDGR,Forumul Democrat al Germanilor din România,Democratic Forum of Germans of Romania,16112.0,True
