from_code,to_code,weight,method
BE100,BE100,1.0,eurostat_direct
BE211,BE211,1.0,eurostat_direct
BE212,BE212,1.0,eurostat_direct
BE213,BE213,1.0,eurostat_direct
BE223,BE223,1.0,eurostat_direct
BE224,BE224,1.0,eurostat_direct
BE225,BE225,1.0,eurostat_direct
BE231,BE231,1.0,eurostat_direct
BE232,BE232,1.0,eurostat_direct
BE233,BE233,1.0,eurostat_direct
BE234,BE234,1.0,eurostat_direct
BE235,BE235,1.0,eurostat_direct
BE236,BE236,1.0,eurostat_direct
BE241,BE241,1.0,eurostat_direct
BE242,BE242,1.0,eurostat_direct
BE251,BE251,1.0,eurostat_direct
BE252,BE252,1.0,eurostat_direct
BE253,BE253,1.0,eurostat_direct
BE254,BE254,1.0,eurostat_direct
BE255,BE255,1.0,eurostat_direct
BE256,BE256,1.0,eurostat_direct
BE257,BE257,1.0,eurostat_direct
BE258,BE258,1.0,eurostat_direct
BE310,BE310,1.0,eurostat_direct
BE323,BE323,1.0,eurostat_direct
BE328,BE328,1.0,eurostat_direct
BE329,BE329,1.0,eurostat_direct
BE32A,BE32A,1.0,eurostat_direct
BE32B,BE32B,1.0,eurostat_direct
BE32C,BE32C,1.0,eurostat_direct
BE32D,BE32D,1.0,eurostat_direct
BE331,BE331,1.0,eurostat_direct
BE332,BE332,1.0,eurostat_direct
BE334,BE334,1.0,eurostat_direct
BE335,BE335,1.0,eurostat_direct
BE336,BE336,1.0,eurostat_direct
BE341,BE341,1.0,eurostat_direct
BE342,BE342,1.0,eurostat_direct
BE343,BE343,1.0,eurostat_direct
BE344,BE344,1.0,eurostat_direct
BE345,BE345,1.0,eurostat_direct
BE351,BE351,1.0,eurostat_direct
BE352,BE352,1.0,eurostat_direct
BE353,BE353,1.0,eurostat_direct
BEZZZ,BEZZZ,1.0,eurostat_direct
BG311,BG311,1.0,eurostat_direct
BG312,BG312,1.0,eurostat_direct
BG313,BG313,1.0,eurostat_direct
BG314,BG314,1.0,eurostat_direct
BG315,BG315,1.0,eurostat_direct
BG321,BG321,1.0,eurostat_direct
BG322,BG322,1.0,eurostat_direct
BG323,BG323,1.0,eurostat_direct
BG324,BG324,1.0,eurostat_direct
BG325,BG325,1.0,eurostat_direct
BG331,BG331,1.0,eurostat_direct
BG332,BG332,1.0,eurostat_direct
BG333,BG333,1.0,eurostat_direct
BG334,BG334,1.0,eurostat_direct
BG341,BG341,1.0,eurostat_direct
BG342,BG342,1.0,eurostat_direct
BG343,BG343,1.0,eurostat_direct
BG344,BG344,1.0,eurostat_direct
BG411,BG411,1.0,eurostat_direct
BG412,BG412,1.0,eurostat_direct
BG413,BG413,1.0,eurostat_direct
BG414,BG414,1.0,eurostat_direct
BG415,BG415,1.0,eurostat_direct
BG421,BG421,1.0,eurostat_direct
BG422,BG422,1.0,eurostat_direct
BG423,BG423,1.0,eurostat_direct
BG424,BG424,1.0,eurostat_direct
BG425,BG425,1.0,eurostat_direct
BGZZZ,BGZZZ,1.0,eurostat_direct
CZ010,CZ010,1.0,eurostat_direct
CZ020,CZ020,1.0,eurostat_direct
CZ031,CZ031,1.0,eurostat_direct
CZ032,CZ032,1.0,eurostat_direct
CZ041,CZ041,1.0,eurostat_direct
CZ042,CZ042,1.0,eurostat_direct
CZ051,CZ051,1.0,eurostat_direct
CZ052,CZ052,1.0,eurostat_direct
CZ053,CZ053,1.0,eurostat_direct
CZ063,CZ063,1.0,eurostat_direct
CZ064,CZ064,1.0,eurostat_direct
CZ071,CZ071,1.0,eurostat_direct
CZ072,CZ072,1.0,eurostat_direct
CZ080,CZ080,1.0,eurostat_direct
CZZZZ,CZZZZ,1.0,eurostat_direct
DK011,DK011,1.0,eurostat_direct
DK012,DK012,1.0,eurostat_direct
DK013,DK013,1.0,eurostat_direct
DK014,DK014,1.0,eurostat_direct
DK021,DK021,1.0,eurostat_direct
DK022,DK022,1.0,eurostat_direct
DK031,DK031,1.0,eurostat_direct
DK032,DK032,1.0,eurostat_direct
DK041,DK041,1.0,eurostat_direct
DK042,DK042,1.0,eurostat_direct
DK050,DK050,1.0,eurostat_direct
DKZZZ,DKZZZ,1.0,eurostat_direct
DE111,DE111,1.0,eurostat_direct
DE112,DE112,1.0,eurostat_direct
DE113,DE113,1.0,eurostat_direct
DE114,DE114,1.0,eurostat_direct
DE115,DE115,1.0,eurostat_direct
DE116,DE116,1.0,eurostat_direct
DE117,DE117,1.0,eurostat_direct
DE118,DE118,1.0,eurostat_direct
DE119,DE119,1.0,eurostat_direct
DE11A,DE11A,1.0,eurostat_direct
DE11B,DE11B,1.0,eurostat_direct
DE11C,DE11C,1.0,eurostat_direct
DE11D,DE11D,1.0,eurostat_direct
DE121,DE121,1.0,eurostat_direct
DE122,DE122,1.0,eurostat_direct
DE123,DE123,1.0,eurostat_direct
DE124,DE124,1.0,eurostat_direct
DE125,DE125,1.0,eurostat_direct
DE126,DE126,1.0,eurostat_direct
DE127,DE127,1.0,eurostat_direct
DE128,DE128,1.0,eurostat_direct
DE129,DE129,1.0,eurostat_direct
DE12A,DE12A,1.0,eurostat_direct
DE12B,DE12B,1.0,eurostat_direct
DE12C,DE12C,1.0,eurostat_direct
DE131,DE131,1.0,eurostat_direct
DE132,DE132,1.0,eurostat_direct
DE133,DE133,1.0,eurostat_direct
DE134,DE134,1.0,eurostat_direct
DE135,DE135,1.0,eurostat_direct
DE136,DE136,1.0,eurostat_direct
DE137,DE137,1.0,eurostat_direct
DE138,DE138,1.0,eurostat_direct
DE139,DE139,1.0,eurostat_direct
DE13A,DE13A,1.0,eurostat_direct
DE141,DE141,1.0,eurostat_direct
DE142,DE142,1.0,eurostat_direct
DE143,DE143,1.0,eurostat_direct
DE144,DE144,1.0,eurostat_direct
DE145,DE145,1.0,eurostat_direct
DE146,DE146,1.0,eurostat_direct
DE147,DE147,1.0,eurostat_direct
